Церемония	Актриса	Фильм(ы)	Роль
66-я	Дебра Уингер	Страна теней	Джой Грешем
67-я	Джессика Лэнг	Голубое небо	Карли Маршалл
67-я	Джоди Фостер	Нелл	Нелл Келлти
67-я	Миранда Ричардсон	Том и Вив	Вивьенн Хей-Вуд
67-я	Вайнона Райдер	Маленькие женщины	Джо Марч
67-я	Сьюзан Сарандон	Клиент	Реджи Лав
68-я	Сьюзан Сарандон	Мертвец идёт	сестра Хелен Преджан
68-я	Элизабет Шу	Покидая Лас-Вегас	Сэра
68-я	Шэрон Стоун	Казино	Джинджер Маккенна
68-я	Мерил Стрип	Мосты округа Мэдисон	Франческа Джонсон
68-я	Эмма Томпсон	Разум и чувства	Элинор Дэшвуд
69-я	Фрэнсис Макдорманд	Фарго	Мардж Гандерсон
69-я	Бренда Блетин	Тайны и ложь	Синтия Роуз Пёрли
69-я	Дайан Китон	Комната Марвина	Бесси
69-я	Кристин Скотт Томас	Английский пациент	Кэтрин Клифтон
69-я	Эмили Уотсон	Рассекая волны	Бесс Макнилл
70-я	Хелен Хант	Лучше не бывает	Кэрол Коннелли
70-я	Хелена Бонэм Картер	Крылья голубки	Кейт Крой
70-я	Джули Кристи	На закате	Филлис Манн
70-я	Джуди Денч	Миссис Браун	королева Великобритании Виктория
70-я	Кейт Уинслет	Титаник	Роза Дьюитт Бьюкейтер
71-я	Гвинет Пэлтроу	Влюблённый Шекспир	Виола де Лессепс
71-я	Кейт Бланшетт	Елизавета	королева Англии Елизавета I
71-я	Фернанда Монтенегру	Центральный вокзал	Дора
71-я	Мерил Стрип	Истинные ценности	Кейт Галден
71-я	Эмили Уотсон	Хилари и Джеки	Жаклин дю Пре
72-я	Хилари Суонк	Парни не плачут	Тина Брэндон / Брэндон Тина
72-я	Аннетт Бенинг	Красота по-американски	Кэролайн Бёрнэм
72-я	Джанет Мактир	Перекати-поле	Мэри Джо Уокер
72-я	Джулианна Мур	Конец романа	Сара Майлз
72-я	Мерил Стрип	Музыка сердца	Роберта Гуаспари
73-я	Джулия Робертс	Эрин Брокович	Эрин Брокович
73-я	Джоан Аллен	Претендент	сенатор Лэйн Хенсон
73-я	Жюльет Бинош	Шоколад	Виенн Роше
73-я	Эллен Бёрстин	Реквием по мечте	Сара Голдфарб
73-я	Лора Линни	Можешь рассчитывать на меня	Саманта «Сэмми» Прескотт
74-я	Хэлли Берри	Бал монстров	Летиция Масгроув
74-я	Джуди Денч	Айрис	Айрис Мёрдок (в старости)
74-я	Николь Кидман	Мулен Руж!	Сатин
74-я	Сисси Спейсек	В спальне	Рут Фаулер
74-я	Рене Зеллвегер	Дневник Бриджит Джонс	Бриджит Джонс
75-я	Николь Кидман	Часы	Вирджиния Вулф
75-я	Сальма Хайек	Фрида	Фрида Кало
75-я	Дайан Лейн	Неверная	Конни Самнер
75-я	Джулианна Мур	Вдали от рая	Кэти Уайтекер
75-я	Рене Зеллвегер	Чикаго	Рокси Харт
76-я	Шарлиз Терон	Монстр	Эйлин Уорнос
76-я	Кейша Касл-Хьюз	Оседлавший кита	Пайкеа
76-я	Дайан Китон	Любовь по правилам и без	Эрика Барри
76-я	Саманта Мортон	В Америке	Сара Салливан
76-я	Наоми Уоттс	21 грамм	Кристина Пек
77-я	Хилари Суонк	Малышка на миллион	Мэгги Фицджеральд
77-я	Аннетт Бенинг	Театр	Джулия Ламберт
77-я	Каталина Сандино Морено	Мария, благодати полная	Мария Альварес
77-я	Имельда Стонтон	Вера Дрейк	Вера Дрейк
77-я	Кейт Уинслет	Вечное сияние чистого разума	Клементина Кручински
78-я	Риз Уизерспун	Переступить черту	Джун Картер
78-я	Джуди Денч	Миссис Хендерсон представляет	миссис Лора Хендерсон
78-я	Фелисити Хаффман	Трансамерика	Сабрина «Бри» Осборн
78-я	Кира Найтли	Гордость и предубеждение	Элизабет Беннет
78-я	Шарлиз Терон	Северная страна	Джози Эймс
79-я	Хелен Миррен	Королева	королева Великобритании Елизавета II
79-я	Пенелопа Крус	Возвращение	Раймунда
79-я	Джуди Денч	Скандальный дневник	Барбара Коветт
79-я	Мерил Стрип	Дьявол носит Prada	Миранда Пристли
79-я	Кейт Уинслет	Как малые дети	Сара Пирс
80-я	Марион Котийяр	Жизнь в розовом цвете	Эдит Пиаф
80-я	Кейт Бланшетт	Золотой век	королева Англии Елизавета I
80-я	Джули Кристи	Вдали от неё	Фиона Андерсон
80-я	Лора Линни	Дикари	Уэнди Сэвидж
80-я	Эллен Пейдж	Джуно	Джуно Макгафф
81-я	Кейт Уинслет	Чтец	Ханна Шмиц
81-я	Энн Хэтэуэй	Рэйчел выходит замуж	Ким
81-я	Анджелина Джоли	Подмена	Кристин Коллинз
81-я	Мелисса Лео	Замёрзшая река	Рэй Эдди
81-я	Мерил Стрип	Сомнение	сестра Элоиза Бовье
82-я	Сандра Буллок	Невидимая сторона	Ли Энн Туи
82-я	Хелен Миррен	Последнее воскресение	Софья Андреевна Толстая
82-я	Кэри Маллиган	Воспитание чувств	Дженни Меллор
82-я	Габури Сидибе	Сокровище	Кларисса «Сокровище» Джонс
82-я	Мерил Стрип	Джули и Джулия: Готовим счастье по рецепту	Джулия Чайлд
83-я	Натали Портман	Чёрный лебедь	Нина Сейерс
83-я	Аннетт Бенинг	Детки в порядке	Николь «Ник» Аллгуд
83-я	Николь Кидман	Кроличья нора	Бекка Корбетт
83-я	Дженнифер Лоуренс	Зимняя кость	Ри Долли
83-я	Мишель Уильямс	Валентинка	Синди
84-я	Мерил Стрип	Железная леди	Маргарет Тэтчер
84-я	Гленн Клоуз	Таинственный Альберт Ноббс	Альберт Ноббс
84-я	Виола Дэвис	Прислуга	Эйбилин Кларк
84-я	Руни Мара	Девушка с татуировкой дракона	Лисбет Саландер
84-я	Мишель Уильямс	7 дней и ночей с Мэрилин	Мэрилин Монро
85-я	Дженнифер Лоуренс	Мой парень — псих	Тиффани Максвелл
